Indicator,Year,Geography,FIPS,Percent
Households living below the federal poverty level,2023,Alabama,1,11.3
Population 25 years and older w/o HS diploma,2023,Alabama,1,10.9
Uninsured,2023,Alabama,1,8.5
Vacant housing,2023,Alabama,1,13.1
Households living below the federal poverty level,2023,Alaska,2,7.2
Population 25 years and older w/o HS diploma,2023,Alaska,2,6.8
Uninsured,2023,Alaska,2,10.4
Vacant housing,2023,Alaska,2,16
Households living below the federal poverty level,2023,Arizona,4,8.7
Population 25 years and older w/o HS diploma,2023,Arizona,4,10.6
Uninsured,2023,Arizona,4,9.9
Vacant housing,2023,Arizona,4,10.3
Households living below the federal poverty level,2023,Arkansas,5,11.2
Population 25 years and older w/o HS diploma,2023,Arkansas,5,10.7
Uninsured,2023,Arkansas,5,8.9
Vacant housing,2023,Arkansas,5,12.5
Households living below the federal poverty level,2023,California,6,8.5
Population 25 years and older w/o HS diploma,2023,California,6,15.2
Uninsured,2023,California,6,6.4
Vacant housing,2023,California,6,7.2
Households living below the federal poverty level,2023,Colorado,8,5.9
Population 25 years and older w/o HS diploma,2023,Colorado,8,6.7
Uninsured,2023,Colorado,8,6.7
Vacant housing,2023,Colorado,8,8
Households living below the federal poverty level,2023,Connecticut,9,7.4
Population 25 years and older w/o HS diploma,2023,Connecticut,9,8.2
Uninsured,2023,Connecticut,9,5.7
Vacant housing,2023,Connecticut,9,6.7
Households living below the federal poverty level,2023,Delaware,10,7.4
Population 25 years and older w/o HS diploma,2023,Delaware,10,8.6
Uninsured,2023,Delaware,10,6.5
Vacant housing,2023,Delaware,10,12.6
Households living below the federal poverty level,2023,District of Columbia,11,11.1
Population 25 years and older w/o HS diploma,2023,District of Columbia,11,7.3
Uninsured,2023,District of Columbia,11,2.7
Vacant housing,2023,District of Columbia,11,8.8
Households living below the federal poverty level,2023,Florida,12,8.6
Population 25 years and older w/o HS diploma,2023,Florida,12,9.8
Uninsured,2023,Florida,12,10.7
Vacant housing,2023,Florida,12,14.2
Households living below the federal poverty level,2023,Georgia,13,9.8
Population 25 years and older w/o HS diploma,2023,Georgia,13,10.7
Uninsured,2023,Georgia,13,11.4
Vacant housing,2023,Georgia,13,10
Households living below the federal poverty level,2023,Hawaii,15,6.6
Population 25 years and older w/o HS diploma,2023,Hawaii,15,7
Uninsured,2023,Hawaii,15,3.2
Vacant housing,2023,Hawaii,15,13.7
Households living below the federal poverty level,2023,Idaho,16,6.5
Population 25 years and older w/o HS diploma,2023,Idaho,16,7.8
Uninsured,2023,Idaho,16,8.9
Vacant housing,2023,Idaho,16,10.1
Households living below the federal poverty level,2023,Illinois,17,8
Population 25 years and older w/o HS diploma,2023,Illinois,17,9.4
Uninsured,2023,Illinois,17,6.2
Vacant housing,2023,Illinois,17,7.3
Households living below the federal poverty level,2023,Indiana,18,8.4
Population 25 years and older w/o HS diploma,2023,Indiana,18,9.6
Uninsured,2023,Indiana,18,6.9
Vacant housing,2023,Indiana,18,8.2
Households living below the federal poverty level,2023,Iowa,19,6.9
Population 25 years and older w/o HS diploma,2023,Iowa,19,6.7
Uninsured,2023,Iowa,19,5
Vacant housing,2023,Iowa,19,7.7
Households living below the federal poverty level,2023,Kansas,20,7.6
Population 25 years and older w/o HS diploma,2023,Kansas,20,8.3
Uninsured,2023,Kansas,20,8.4
Vacant housing,2023,Kansas,20,8.6
Households living below the federal poverty level,2023,Kentucky,21,12.6
Population 25 years and older w/o HS diploma,2023,Kentucky,21,10.5
Uninsured,2023,Kentucky,21,5.4
Vacant housing,2023,Kentucky,21,9
Households living below the federal poverty level,2023,Louisiana,22,13.7
Population 25 years and older w/o HS diploma,2023,Louisiana,22,12.2
Uninsured,2023,Louisiana,22,6.9
Vacant housing,2023,Louisiana,22,13.7
Households living below the federal poverty level,2023,Maine,23,6.8
Population 25 years and older w/o HS diploma,2023,Maine,23,5.1
Uninsured,2023,Maine,23,5.9
Vacant housing,2023,Maine,23,18.7
Households living below the federal poverty level,2023,Maryland,24,6.4
Population 25 years and older w/o HS diploma,2023,Maryland,24,8.8
Uninsured,2023,Maryland,24,6.3
Vacant housing,2023,Maryland,24,7.3
Households living below the federal poverty level,2023,Massachusetts,25,7
Population 25 years and older w/o HS diploma,2023,Massachusetts,25,8.6
Uninsured,2023,Massachusetts,25,2.6
Vacant housing,2023,Massachusetts,25,8
Households living below the federal poverty level,2023,Michigan,26,9.2
Population 25 years and older w/o HS diploma,2023,Michigan,26,8
Uninsured,2023,Michigan,26,4.5
Vacant housing,2023,Michigan,26,11.5
Households living below the federal poverty level,2023,Minnesota,27,5.4
Population 25 years and older w/o HS diploma,2023,Minnesota,27,5.7
Uninsured,2023,Minnesota,27,4.2
Vacant housing,2023,Minnesota,27,9
Households living below the federal poverty level,2023,Mississippi,28,13.7
Population 25 years and older w/o HS diploma,2023,Mississippi,28,12.2
Uninsured,2023,Mississippi,28,10.3
Vacant housing,2023,Mississippi,28,13.6
Households living below the federal poverty level,2023,Missouri,29,7.9
Population 25 years and older w/o HS diploma,2023,Missouri,29,8
Uninsured,2023,Missouri,29,7.5
Vacant housing,2023,Missouri,29,10.1
Households living below the federal poverty level,2023,Montana,30,7
Population 25 years and older w/o HS diploma,2023,Montana,30,5.6
Uninsured,2023,Montana,30,8.4
Vacant housing,2023,Montana,30,11.7
Households living below the federal poverty level,2023,Nebraska,31,6.6
Population 25 years and older w/o HS diploma,2023,Nebraska,31,7.3
Uninsured,2023,Nebraska,31,6.1
Vacant housing,2023,Nebraska,31,6.8
Households living below the federal poverty level,2023,Nevada,32,8.6
Population 25 years and older w/o HS diploma,2023,Nevada,32,12.3
Uninsured,2023,Nevada,32,10.8
Vacant housing,2023,Nevada,32,9.2
Households living below the federal poverty level,2023,New Hampshire,33,4.8
