State,2017,2018,2019,2020,2021,2022,2023,2024
Mississippi,17.3,19.1,19.1,17,19.5,20.9,21.6,19.4
Arkansas,11.5,11,11.4,9.7,13.3,11.9,11.7,12.3
Colorado,9.3,8.3,9.4,6.6,8.2,8.9,9.6,9.7
Connecticut,9,8.4,6.7,5.7,7.5,7.2,7.8,8.1
Delaware,15.5,11.2,11.2,10.9,9.7,14.7,11.2,13.1
Florida,25.3,22.8,21.5,17.2,20.5,22.1,22.3,21.4
Georgia,30,28.6,27.4,22,25.3,26.9,25.4,26
Hawaii,6.4,6.2,5.4,4.2,5.9,6.5,5.1,6.9
Idaho,3.3,2.6,2.4,2.4,3.4,2.6,3,2.9
Illinois,12.7,12.9,12.1,10.2,11.1,12.2,14.2,13.8
Indiana,9.3,9.2,8.5,7.5,9.3,10.7,11.7,10.8
Iowa,4.8,4.4,3.6,3.8,4.6,4.5,5.1,4.2
Kansas,5,6.4,5.3,5.8,6.2,5.3,6,5.7
Kentucky,9.8,10,8.7,8,10.2,10.6,10.3,9.5
Louisiana,25.9,24.4,22.6,18.4,23.2,22.4,22.4,22
Maine,2.5,2.7,2.5,1.3,2.6,3.4,2.9,5.5
Maryland,20.2,19.2,18.1,13.7,14.1,14.3,13.9,14.8
Massachusetts,10.2,10.8,8.8,7.2,7.3,7.4,8.8,9.7
Michigan,9.2,8.5,8,6.1,7.5,7.3,8.1,7.8
Minnesota,5.9,6,5.7,4.7,6,5.4,6.7,6.4
Missouri,9.8,8.7,9.4,7.2,10.5,9.7,10.6,10.9
Montana,3.5,2.6,2.8,1.5,2.3,1.6,3,2.8
Nebraska,5.6,4.9,5,4.5,6.5,5.5,6,8.4
Nevada,19.9,19.7,19.9,15,18.8,19.8,21.3,22.5
New Hampshire,2.8,3.3,2.5,2.7,2.6,2.3,2.8,2.5
New Jersey,14.9,13.3,14,9.7,12.9,13.6,12.5,13.2
New Mexico,8,8.5,10,7.6,8.5,8.4,10.7,9.2
New York,16.4,14.9,14.4,11.8,12.7,13.2,14.1,14.6
North Carolina,15,13.5,15.3,12.2,15.5,14.9,15.1,14.3
North Dakota,5.9,5.9,6,5.6,5.8,5.6,3.4,3.3
Ohio,10,9.9,9.8,8.8,9.2,8.5,8.5,9.1
Oklahoma,9.3,8.5,10.5,10.5,11.6,11.9,11.3,9.6
Oregon,5.8,6.4,5.4,5,5.4,6.8,6.7,5.8
Pennsylvania,10.1,9.4,9.2,7.1,8.4,8.6,8.3,8.4
Rhode Island,9.2,8,8,5.5,7.2,7.2,7.5,9.8
South Carolina,16.8,16.8,16.6,15,15,16.1,17.2,15.7
South Dakota,5.5,3.9,4.8,5.1,4.2,5.8,6.7,4.6
Tennessee,12.8,13,13.3,11.1,14.1,14.3,14.5,14.1
Texas,18.9,18.9,18.5,15.1,18.6,19.7,19.9,19.4
Utah,4.7,4.8,5.4,5.1,5,5.6,5.3,6.3
Vermont,3.7,3.3,2,2.3,2.3,0.5,1.8,2.6
Virginia,12.1,12,11.4,8.5,10.9,11.4,11.8,11.4
Washington,7,7.8,7.4,6.4,7,7.3,6.3,6.7
West Virginia,4.9,6,9.7,9.1,9.8,8.9,6.4,5.8
Wisconsin,5.3,4.2,4.3,4.3,5,5.7,5,5.4
Wyoming,2.1,2.5,2.7,2.9,1.4,2.8,4.4,3.2
Alaska,4.8,3.8,4.5,4.8,5,6.1,4.6,5.2
Arizona,12.3,12.5,12,10.7,12.6,13.5,14.4,14
California,14.8,14.7,13.9,12.5,14,14.9,14.9,13.4
District of Columbia,52.4,44.7,42.5,34.5,35,37.1,31.6,30.8
Puerto Rico,15.5,15.6,13.8,10.6,14.1,12.2,13.1,11.4
Alabama,15.8,14.5,15.3,13.8,15.3,15.8,17.9,15.8
National,14.1,13.5,13.2,10.9,12.8,13.3,13.6,13.3
